"Time"	"BTC / Price, USD"	"ETH / Price, USD"	"XRP / Price, USD"	"LINK / Price, USD"	"XLM / Price, USD"	"USDT / Price, USD"	"USDT_ETH / Price, USD"	"USDT_TRX / Price, USD"	"DASH / Price, USD"	"CVC / Price, USD"	"DAI / Price, USD"	"COMP / Price, USD"	"CRV / Price, USD"	"CRO / Price, USD"	"DCR / Price, USD"	"ADA / Price, USD"	"AAVE / Price, USD"	"1INCH / Price, USD"	"ALGO / Price, USD"	"ALPHA / Price, USD"	"ANT / Price, USD"	"BAL / Price, USD"	"BAT / Price, USD"	"BCH / Price, USD"	"BNB / Price, USD"	"BSV / Price, USD"	"BTG / Price, USD"	"DRGN / Price, USD"	"ELF / Price, USD"	"EOS / Price, USD"	"EOS_ETH / Price, USD"	"ETC / Price, USD"	"DOT / Price, USD"	"DOGE / Price, USD"	"DGB / Price, USD"	"FTT / Price, USD"	"FUN / Price, USD"	"GAS / Price, USD"	"GNT / Price, USD"	"GNO / Price, USD"	"GRIN / Price, USD"	"GUSD / Price, USD"	"HBTC / Price, USD"	"HT / Price, USD"	"HEDG / Price, USD"	"HUSD / Price, USD"	"ICP / Price, USD"	"KNC / Price, USD"	"LEND / Price, USD"	"LEO_EOS / Price, USD"	"LTC / Price, USD"	"MAID / Price, USD"	"MANA / Price, USD"	"MATIC_ETH / Price, USD"	"LEO_ETH / Price, USD"	"LOOM / Price, USD"	"LPT / Price, USD"	"MKR / Price, USD"	"NEO / Price, USD"	"NXM / Price, USD"	"OMG / Price, USD"	"PAX / Price, USD"	"PAXG / Price, USD"	"PAY / Price, USD"	"PPT / Price, USD"	"QASH / Price, USD"	"QNT / Price, USD"	"RENBTC / Price, USD"	"REP / Price, USD"	"PERP / Price, USD"	"POLY / Price, USD"	"POWR / Price, USD"	"REN / Price, USD"	"SNX / Price, USD"	"SAI / Price, USD"	"SNT / Price, USD"	"SRM / Price, USD"	"SUSHI / Price, USD"	"SWRV / Price, USD"	"TRX / Price, USD"	"TRX_ETH / Price, USD"	"TUSD / Price, USD"	"UNI / Price, USD"	"UMA / Price, USD"	"USDC / Price, USD"	"USDK / Price, USD"	"USDT_OMNI / Price, USD"	"VTC / Price, USD"	"WBTC / Price, USD"	"WETH / Price, USD"	"WNXM / Price, USD"	"ZRX / Price, USD"	"XAUT / Price, USD"	"WTC / Price, USD"	"XEM / Price, USD"	"XMR / Price, USD"	"XVG / Price, USD"	"XTZ / Price, USD"	"YFI / Price, USD"	"ZEC / Price, USD"
"2017-03-01"	1228.45965061368	17.2656843547633	0.00532952664969905		0.0017311265881429	0.9996670511403718			43.2793884502959						2.03742996147778																	1.40261402571014		0.0001994548915255	0.000242667808528121				0.0228707555192997												3.8539021293783	0.168826773971443																	5.0909552433003																		0.9996670511403718	0.0402069896780285							0.0078740077795007	12.3770014476531				41.5650842996283
"2017-03-02"	1262.93146738749	19.204561207481	0.00613271407484526		0.00179861148887118	1.0064459179740874			42.546545753196						2.09425850839141																	1.3647785264792216		0.00020888753608132	0.000243464547671552				0.0233697041056554												4.04721185173296	0.164735175184668																	5.82107623007387																		1.0064459179740874	0.0397811646518358							0.00874929211084394	13.2132930292296				40.0455246159707
"2017-03-03"	1289.36319111631	19.6547031858562	0.00646578887808167		0.00178896421481535	1.0032436752026237			47.7777855821974						2.09424708330073																	1.443243562257936		0.000216015658888604	0.000232614382560002				0.0245391504568782												4.08572275637011	0.168134364027835																	5.78492051212332																		1.0032436752026237	0.0420719209261251							0.00905472294029784	14.029060347375				42.3484264954524
"2017-03-04"	1268.94066440678	18.6842248883694	0.00624746912499005		0.00175000934558315	1.0058419440230562			43.7354750698085						2.16990338963859																	1.4289176568460975		0.000210687091065616	0.00022840931959322				0.0239703943866575												3.99511933427343	0.171010082795097																	5.65142064194516																		1.0058419440230562	0.0424204861691669							0.0098350247404606	13.8082670996245				41.3729943212284
"2017-03-05"	1276.27368293396	19.3011112244302	0.00615118115522424		0.0017420427145515	0.9999613066665977			42.3731442627497						2.10350485937585																	1.3936914351639818		0.000211958998051857	0.000219886813339384				0.0231714271477744												3.99796809171384	0.168926134226513																	6.15753288438813																		0.9999613066665977	0.0396735082279355							0.011450272843418	15.2636036999752				39.567362454542
"2017-03-06"	1282.25465663355	19.7310337568673	0.00606847583213554		0.00183910366033962	1.0068931879035599			46.7441885459253						2.31537081870019																	1.4325680979551683		0.00021582024568063	0.000230805838194039				0.023093501563282												4.09992108524135	0.164947683611724																	6.00378060424659																		1.0068931879035599	0.0388153802672374							0.0109707576326594	15.5179191716556				40.4380457672862
"2017-03-07"	1234.47646206897	18.8391078433665	0.00679085006163308		0.00201932066624458	1.0003943064620089			45.979798743319						3.27328544025822																	1.3708894525227209		0.00020597171227678	0.000241304434374884				0.0218828687227521												3.99116321485378	0.157402305130982																	5.81352148639212																		1.0003943064620089	0.0380859408247843							0.0110725569014259	13.7744714018217				38.0693477789821
"2017-03-08"	1152.13938924606	16.6778201776739	0.00645893094244747		0.0018146535433455	1.001959715499317			42.4120488043926						2.78160447651943																	1.2822859475625785		0.000204536726758322	0.000218906483956751				0.0198416828970616												3.8411451806752	0.138813777687078																	5.33890806100428																		1.001959715499317	0.0368267861398825							0.00920113734457743	12.5349621219496				35.4659224413937
"2017-03-09"	1193.45552659264	17.798087509059	0.00648727443662736		0.00177377972845185	1.0036000342933369			51.050236361819						3.13102544376131																	1.3255224754397819		0.00021162352002502	0.000215782478866229				0.0197532178310508												3.90048277936663	0.153757661519623																	5.50192314387728																		1.0036000342933369	0.0383307287068982							0.00893109085830956	13.0926559542354				36.6918691328351
"2017-03-10"	1098.53014903565	19.1809420046756	0.00615609115264958		0.00168187887098585	0.9967797912262542			50.3517160978667						3.03943001082971																	1.285507761912168		0.000195504980457189	0.000201635818793332				0.0200779944305381												3.76003239000719	0.149875670406586																	5.82020090552246																		0.9967797912262542	0.0339118780223837							0.00889212805206901	13.1793401948985				34.6360225606131
